Fecha,Torneo,Comienzo,Finalización,Equipo,Rival,Estadio,Goles Convertidos,Goles Recibidos,Resultado,Conclusión,Apariciones,DT,Comentarios,Foto,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
